"Timestamp","Please rate your level of understanding in regards to current political situations in Nigeria.                                                  1= very little, 4= Moderate, 7=High","Please pick your age range","How do feel about Nigeria's political situation since the past 10 years?  To give us a full understanding of your situaton, please write as many words as possible. ","What do you value or enjoy most in your state or country? e.g your education, family, health, friends, etc.","How would you advise a future leader of your council, state, or country?","What do you think is the solution to the leadership problems in Nigeria?","In your opinion, do you think Nigeria's political leadership has been improving since the last 10 years?","What is your level of education?","In which state of Nigeria are you presently? e.g Kwara","What is your gender?"
"2022/01/13 8:29:45 AM GMT+1","6","Between 28 years or above","The political situation has been a retrogressive one, being that the leaders are too selfish!","Activism of the rugged activists","To be selfless","Revolution","NO, it is getting worse","College or University","Kwara","Male"
"2022/01/13 8:31:25 AM GMT+1","7","Between 23 - 27 years","Mess and unstable","Friends","To focus more on educating the minds of Nigerians because that's the first step needed to build a better Nigeria","The people particularly the elites should be more interested in politics","It is the same","College or University","FCT","Male"
"2022/01/13 8:35:16 AM GMT+1","5","Between 28 years or above","The standard of Nigerian politics has been declining since the last ten years as the elected leaders and their lieutenants have failed to discharge their responsibility as expected. The economic, health and security of the country is in shambles. The north eastern part is invaded by insurgency, poverty and illiteracy. Other parts are not safe from ritual killings and robbery. The country is not secure, most of the citizens are not financially buoyant and the government has not been able to proffer a lasting solution. ","Nothing specially. ","To be patriotic and incorruptible. ","A good leader, supported by his followers, with good vision, mission and patriotism. ","NO, it is getting worse","College or University","Kwara","Male"
"2022/01/13 9:07:12 AM GMT+1","4","Between 28 years or above","The Nigeria political situation is a disaster. Very corrupt.","Family ","Fear Allah.","The solution is for the leaders to fear Allah and remember they will leave this earth one day and be held accountable for their deeds on earth.","NO, it is getting worse","College or University","Lagos ","Male"
"2022/01/13 9:10:38 AM GMT+1","5","Between 28 years or above","Terrible ","I value my family and friends ","To the right thing ","Citizens love in there heart ","NO, it is getting worse","College or University","Oyo","Male"
"2022/01/13 9:24:00 AM GMT+1","1","Between 28 years or above","Nigeria political situation is very poor,in term of education and security","Family","Family","Faithfulness","NO, it is getting worse","College or University","Oyo State","Female"
"2022/01/13 9:26:53 AM GMT+1","4","Between 23 - 27 years","Pathetic!  Though there are few good people holding the political posts in tge country, majority are selfish leaders who only care for their pockets alone ","Family, health, friends, religion, education ","Be God-fearing and never forget your promises before you gain your post","Sharia law","NO, it is getting worse","College or University","Oyo","Female"
"2022/01/13 9:38:21 AM GMT+1","4","Between 28 years or above","We can not continue to do  something in a similar way, and have different result, rather we continue to have same result.
This political system in Nigeria cannot  give us any benefit yo have a good system of government. PDP ruled for 16 years, there is no reasonable development in the country- no good road, poor accessibility of portable for all Nigeria, education system is deteriorating, Now APC is ruling.  The system of government is the same, in fact the country is experiencing the hugest level of insecurity.
We need to change our political system in the country, to have a viable system of government, for all Nigerian to leave happily, with good road , stable electricity, accessibility of portable water and so on...","nothing","provision of basic Amenities for all Nigerian.","Appointment of a leader should be based on good leadership. We are  tired of leadership under the umbrella of PDP, APC APGA etc","It is the same","College or University","Kwara","Male"
"2022/01/13 9:45:36 AM GMT+1","4","Between 23 - 27 years","It's tyrannical","Family and friends","To be honest","Honesty","NO, it is getting worse","College or University","Oyo","Female"
"2022/01/13 10:01:32 AM GMT+1","6","Between 28 years or above","Right now Nigeria's political situation is filled with lack of trust and serious confusion.
The current party in government has failed woefully yet it constantly lie about its success.
There is serious economics downturn, many foreign investors have left the country and indigenous investors have and relocating to neighbouring countries.
Monetary policy and fiscal policy is on the verge of crashing.
Security is almost non existent 'you are on your own'. The security system is antipeople and are involved in killing their own people for money and in support of criminals.
Insurgency in every part.
Terrorism everywhere
Banditry, kidnapping, Fulani herdmen killings and farm destruction are going on unchecked and supported due to tribalism.
Infrastructures are basically on papers and in politicians mouth.
Regional agitation for self governance is very strong.
Serious stealing of public fund.
In summary, political situation is that of nothing to write home about and seemingly hopeless.
We are not giving up though.","Family, friends and faith.","To put the people above self.
Build infrastructures.
Invest in education.
Work on security.","Devolution of power. Too much power is the hands of too few people.
Devolution of resources and public fund. Too few people control the resources and public fund.
Leaders must avoid tribalism, nepotism and religious dominance.
Professionalism in place of mediocrity.","NO, it is getting worse","College or University","Oyo","Male"
"2022/01/13 10:12:28 AM GMT+1","4","Between 28 years or above","Nigeria political situation over the last ten years is very technical. In the sense that Nigerians has put their trust in government that those period would be a positive turning point in Nigeria for economic growth and human development. Most especially in area of security and food security which has continued to worsen despite government effort to curb insurgency and banditry. The trust that Nigerians have in government has bin jeopardized. Moreso the unemployment rate has continued to rising among educated individuals as the number of graduate is on yearly increase. Educated Nigerians are at receiving end of bad governance. ","Family","They should try to learn from developed nations on how to dispense good leadership","Bad political system and immatured national Independence ","It is the same","College or University","Oyo","Male"
"2022/01/13 10:16:50 AM GMT+1","4","Between 23 - 27 years","Political situation in the past ten year is fair than nowadays because security of nowadays is very poor also like education, health and feeding. ","None ","My advice for our future leader is to ensure that they should be a God fearing person so that they will be able to fulfill there promises made to the citizens when aspiring for the position. ","Truth and God fearing ","YES, it is getting better","College or University","Oyo","Female"
"2022/01/13 10:21:35 AM GMT+1","5","Between 28 years or above","The political situation of Nigeria is nothing short of pathetic ","family and friends ","To not see the opportunity as a mean to lead but to server God and Humanity. ","Restructuring, real ammendment of the country's constitution ","NO, it is getting worse","College or University","Kwara state","Male"
"2022/01/13 10:39:47 AM GMT+1","6","Between 28 years or above","Nigeria politics is best regarded as Beaurocracy rather than democracy. Most times, highly influential people feed their kits and kins into positions. In most cases, election has yet to yield the result of the majority. 

On the part of the citizens, lack of trust in the political systems, and the public servants, has led to apathy, especially among youths.  This however  has further complicated outcome of election where massive purchase of vote has become the norm.

Political aspirants must wine and dine with Godfathers and notorious louts, especially among the leaders of the national transport works if they want to win. The consequence of which is the appointment of incompetent cabinet members after election.

Parties lack stable ideologies and principles. So it's a normal for politicians to crosscarpet from one party to another, a save haven when the party weeds the stick.

In a nutshell, most Nigerians elite has lost hope in the Nigerian political systems.
","Family","He must set his vision right, build trust in the people and help change people's mind","Full Democratisation, true federalism, autonomy to local government","YES, it is getting better","College or University","Oyo","Male"
"2022/01/13 10:51:30 AM GMT+1","6","Between 28 years or above","The political situation in Nigeria is gradually improving. People are more aware of the political office holders responsibilities and the. INEC is more competent to conduct credible elections compare to the last 10 years","Friends","I will advise them to work for people and not their pockets as the corruption is the major challenge affecting the development of the country","The solution is to allow all organisations from INEC, Judiciary,Police, EFCC to work independently without political interference","YES, it is getting better","College or University","Ondo","Male"
"2022/01/13 11:02:09 AM GMT+1","4","Between 23 - 27 years","I don't feel good about Nigeria's political situation o, the thing is getting harder ND harder as year pass by","Family,Friends ","To be more considerate and know that the seat is just for a limited time","Fear of God","NO, it is getting worse","College or University","Ibadan","Female"
"2022/01/13 11:33:42 AM GMT+1","4","Between 28 years or above","Well, no tangible progress has been recorded. Perhaps, there are more sycophants in politics than the good ones.

Inconsistent policies and lack of continuities from one regime to the others obviously is contributing to the issues.

Nevertheless, the followers also contribute to the issues. Many keep selling their votes for small amount of money. Also, masses mostly lose trust in the government so quick and thus non compliance of many citizens to policies and unnecessary criticisms from all and sundry distract the government and keep development stagnant or less efficient.

Corruption is a command practice in virtually all sectors if not all household. This is really painful but factual.

Going forward, The government should set a reasonable and realistic targets. Sensitize the citizens effectively on the benefits of the policies.

We hope for better Nigeria ahead","Education
","Going forward, The government should set a reasonable and realistic targets. Sensitize the citizens effectively on the benefits of the policies.
","Competent Leaders should be voted to power","NO, it is getting worse","College or University","Ogun","Male"
"2022/01/13 12:57:49 PM GMT+1","5","Between 28 years or above","The system of the politics in Nigeria very bad and corrupt. But my suggestion is that for all system politic adopted in the world non fill good to bring in the best of candidate without element of inaccuracy. I am suggesting if the system can change to Smarter Democracy with A Ministry of Citizen Crowd Prediction where everyone is represented in government or in a parliament and everyone suggest which project govenrnemnet should implement for economy growth.","Non everywhere is corrupted","I am advising if the system can change to Smarter Democracy with A Ministry of Citizen Crowd Prediction where everyone is represented in government or in a parliament and everyone suggest which project govenrnemnet should implement for economy growth.","A Smarter Democracy and A Ministry of Citizen Crowd Prediction","NO, it is getting worse","College or University","I am abroad because the system is not favourable for citizens because of corruption.","Male"
"2022/01/13 1:09:16 PM GMT+1","4","Between 28 years or above","Majority of the aspirant and voters as well as the political parties in power and their oppositions are only interested in the national cake(spending the nations wealth).","Family","To alleviate as much as possible the difficulty faced by the people","To have policies that would make the leadership position not alluring to those vieying for it by reducing to he cost of governance. Also to make the position easily available to those that are honest and willing to serve.","It is the same","College or University","Lagos","Male"
"2022/01/13 2:28:11 PM GMT+1","1","Between 28 years or above","Bad road
Insecurity issue
Worst education","None","They should implore good moral","New set of leaders","It is the same","College or University","Kwara","Male"
"2022/01/13 3:10:20 PM GMT+1","1","Between 28 years or above","Nothing is real. Selfishness is the goal of most the politicians. Nobody is ready to deliver anything. ","Nothing for now ","Selflessness and readiness to to deliver their right quota ","Selflessness mind ","NO, it is getting worse","College or University","F. C. T. Abuja ","Female"
"2022/01/13 3:26:24 PM GMT+1","4","Between 28 years or above","The political situation is pathetic.","My family","He or She should be honest and have people at heart","Hmmmmm honestly I don't know","NO, it is getting worse","College or University","Kwara","Male"
"2022/01/13 3:41:54 PM GMT+1","7","Between 28 years or above","Improving  in a positive way ","Education  and health is also improving ","More attention  in Education  and health of the people 
And tackle corruption  for the  better of the nation ","Tackling of corruption  ","YES, it is getting better","College or University","Kwara","Male"
"2022/01/13 4:30:41 PM GMT+1","4","Between 28 years or above","I'm not pleased with the political situation of the country. Politically and otherwise, the country is not making any progress; our boat is on the verge of sinking!","Family and friends","My advice for whoever aspire to be a leader in my country is to surround themselves with good, intelligent, God-fearing individuals that will give them the right advice when needed.","We have a complex and 'multi-tiered' problem which can't be solved at a go.
A revolution might work but its doubtful, if it will ever happen!
Hence, God's intervention is our only, most reliable option.","NO, it is getting worse","College or University","Oyo","Female"
"2022/01/13 5:08:46 PM GMT+1","4","Between 28 years or above","It is terrible.","Family","To ready to serve people 
To say No to corruption","only Allah can solve Nigeria problems.","NO, it is getting worse","College or University","Oyo","Male"
"2022/01/13 5:29:08 PM GMT+1","4","Between 28 years or above","Nigeria political situation has been pathetic, past and present politians are only interested in personal gain. And the future aspirants also have the same mindset ","Family ","Future leader should go there with intention to serve and represent interest of the masses not personal gain","Godfatherism and cabals should be scrapped. 
Also,  leaders should be genuinely hold accountable for their actions ","NO, it is getting worse","College or University","Ondo","Female"
"2022/01/13 5:35:52 PM GMT+1","5","Between 28 years or above","Nothing is actually changing for good so far. The country has been moving from one deep sheet to another.","I will still reiterate that nothing has been working so far. We are just suffering and smiling at the same time.","Let the citizens be the one you have in mind. ","Both leaders and followers need to change intention for the good. ","NO, it is getting worse","Postgraduate ","Oyo","Male"
"2022/01/13 6:44:35 PM GMT+1","6","Between 28 years or above","There is progress in some part and backwardness in few others","Education","They should be more sincere, and be people's leaders i. e. They should engage in people's oriented programmes","Sincerity of purpose
Not being selfish
Electing leaders instead of rulers
Ensuring  rule of law is well implemented
Avoidance of bigotry be it religious, ethnic, social and so on
Appointing qualified technocrats instead of desperate politicians sincerely investing in the future generations

","YES, it is getting better","College or University","Osun","Male"
"2022/01/13 7:27:26 PM GMT+1","4","Between 18 - 22 years","Corruption everywhere","Family","Be a good one","Accommodating style","It is the same","College or University","Oyo state","Female"
"2022/01/13 8:04:35 PM GMT+1","7","Between 28 years or above","Political situation in Nigeria cannot be understood in isolation without considering the interests and fears of all stakeholders from the colonial era till the introduction of democratic
rule. Some salient factors from my own perspective responsible for the present pathetic state of the nation are as listed: 1. Misunderstanding of power and authority by most leaders.
2. Lack of vision by leaders. 
3. Greed.
4. Self centeredness.","Family and education","Don't venture into any public office until you've proven records of selfless service and support to your immediate and extended families, and your immediate community (school, house street, etc)","Need to go back to regional government as it was in the 60's","NO, it is getting worse","College or University","Oyo State","Female"
"2022/01/13 8:19:45 PM GMT+1","5","Between 28 years or above","Nigeria's political situation has been stagnant in the sense that no matter the Political Party or Person in power, all they do is loot. The people who actually want a turn around for the better in Nigeria, do not have the clout or sufficient nation wide support to get elected or appointed. ","Family and friends ","They should focus on total reorientation of Nigerians because the average Nigerian is selfish and self-seeking. ","Nigerians should stop voting in the same people or set of people. ","It is the same","College or University","Lagos","Female"
"2022/01/13 8:29:59 PM GMT+1","1","Between 28 years or above","Horrible ","Friends","Social media ","Solving corruption ","NO, it is getting worse","College or University","Lagos ","Female"
"2022/01/13 8:31:45 PM GMT+1","4","Between 28 years or above","Not sure.","Opportunities ","To have the fear of God .","Need more of servant leaders.","NO, it is getting worse","College or University","Lagos","Female"
"2022/01/13 8:38:40 PM GMT+1","4","Between 23 - 27 years","Same set of people have been playing the game called politics, little chance are given to other people who have little connection and makes it difficult to find a good leader","Family and friends","Be well informed and take action with care, and most importantly be God-fearing","Free and fair election","It is the same","College or University","Oyo","Female"
"2022/01/13 8:45:10 PM GMT+1","4","Between 23 - 27 years","Not encouraging because of bad governance ","Family ","Have the interest of the masses at heart","Good governance ","NO, it is getting worse","College or University","Oyo","Female"
"2022/01/13 9:28:05 PM GMT+1","1","Between 28 years or above","The system is not what to be compare with other develop Nat other developed nations.citizery are not enjoy the dividend of democracy","Education","To sure of what they wanted to offer before ascennding the post","Let the qualified be given chance","NO, it is getting worse","Secondary","Oyo","Male"
"2022/01/13 9:30:47 PM GMT+1","4","Between 28 years or above","Nigeria politics is full of corruption, and the Western world also complicated to series of challenges facing by Nigeria Government. Nigeria is the most country that is rising in poverty every minute due to poor policy by the Government. ","Family ","They should be advocate for justice and equity ","They should allow each region to control their resources, in order to bust their economy as the solution to economy crisis and poverty. ","NO, it is getting worse","College or University","Oyo State ","Male"
"2022/01/13 9:50:43 PM GMT+1","5","Between 28 years or above","Nigeria's political situation is going downhill. Politicians who lack integrity are steering the nation in the wrong direction for their own selfish interests. Policies are only in place to serve the needs of a favoured few, while the rest of the population is left to languish under draconian laws and regulations. Unemployment, Poverty and insecurity is getting worse, and the few gains that were made by the last government have disappeared by the careless and dismissive attitude of today's government. ","Family and friends","To serve with integrity, to feel the afflictions of the people they chose to serve and do something tangible for them, and eventually leave a lasting legacy when they step down from power.","We need leaders with integrity","NO, it is getting worse","College or University","Lagos","Female"
"2022/01/13 10:13:13 PM GMT+1","4","Between 28 years or above","We are moving towards the achievement  and getting Democratic procedure ","Well education is going on gradually ","To calm down ,having Allah fearing  ,patriotic  and sincere in all their endeavors ","Many Nigerians are not sincere Peoples are self centred","YES, it is getting better","College or University","Oyo","Male"
"2022/01/13 10:14:40 PM GMT+1","1","Between 28 years or above","Nigeria is getting worse . No money no food . Bad road .bad education ","Friend's","A good leader must ready to serve his/her  people . Not that people should be serving him","To make his/her  people to be one nation ","NO, it is getting worse","College or University","Kwara State","Male"
"2022/01/13 10:59:03 PM GMT+1","4","Between 23 - 27 years","I feel so bad and disturbed about happenings in Nigerian Polity. It's nothing to write home about, no good things happening in our society: it's bad news every single and manner of evils etc.","Family and friends","To be God-fearing.","Solution would come when God-fearing men and women take over the seat of government of Nigeria.","NO, it is getting worse","College or University","Ogun","Male"
"2022/01/13 11:04:22 PM GMT+1","2","Between 23 - 27 years","To my own view Nigeria politics is very poor,for the fact that some of our leaders assigned to be in position of authority failed a lot without excluding all the 3 arms of government all this problem start from local government level till federal level,also the problems still remain till date ,there are some among our leaders who are Willing to do good but bad one among will still instigate them for not doing that,if the leaders are ready to change the citizen will comply with them so as to have peaceful Nation,the major problem of this country is Corruption, embezzlement, unemployment all these are failed to attempt to by Nigeria political leaders.Infact the Education and Agriculture sector that supposed to be a main Target for them is still not good ,for instance now in the country presently the rate at which tuition fees is increasing is skyrocketed because if someone have planned to go to federal school on getting there to pay the tuition fee is almost the same as that of some state University also in agriculture sector all the federal government funds and palliative to be given to Farmers will be sold out to them instead of free that federal government have approved, The Nigeria political is very bad In all sector.","Family","As for me with the level of things now because Nigeria politics is bad already the solution must come from individual family member to the society and the trends of goodness in all must be moving like that to federal level because we must start the changes from the rudiments not higher level,my own advise for the person is not to join the bad one among he/ she must separate from them all and try to do his/ her best on the post given.","Everybody should fear God first this will help us if at all the person assigned to a post will think twice before doing involving in bad character","NO, it is getting worse","College or University","Oyo","Female"
"2022/01/13 11:32:39 PM GMT+1","4","Between 23 - 27 years","It's been very poor, it seems like every political leadership is just worse than the previous one","Being with my family","You can't fix all the problems in Nigeria but you can start by fixing one, if it's power, road, security, something basic. Something you'd be remembered for so that those coming after you with such mindset can pick up the next thing to fix","Most leaders are greedy and selfish and really don't care about anything other than enriching themselves. And the most painful part is that it's just a full cycle, they are just shuffling themselves, same people, different political parties, same problem","NO, it is getting worse","College or University","Lagos","Male"
"2022/01/14 5:11:36 AM GMT+1","1","Between 28 years or above","Unbalanced ","Family","Do good and not compromise ","We need a revolution ","NO, it is getting worse","College or University","Lagos ","Male"
"2022/01/14 5:12:17 AM GMT+1","4","Between 28 years or above","Nigeria politics is now a do or die","My Family","Our leaders should just have a fear of God","We should all fear God","NO, it is getting worse","College or University","Oyo","Male"
"2022/01/14 6:26:41 AM GMT+1","4","Between 18 - 22 years","Am ar","Aare","afeezammar@gmail.com","Oyo","YES, it is getting better","Secondary","Oyo","Male"
"2022/01/14 8:06:57 AM GMT+1","7","Between 23 - 27 years","I feel Good, things are moving, it's just that Rome was not built in a day, it's a gradual processing.","Family ","They should have a plan to turn around the situation we are presently and take us to higher level in terms of infrastructures","1. Leaders should not be recycled
2. Leaders should be chosen or elected based on merit and not on any other sentiment
3. Nepotism should not be The yardstick when choosing a person leader
4. Leaders should be trained adequately to impact upon the people he leads
5. Leaders should try to match their reputation and character together to make sure that they meet at the center point","YES, it is getting better","College or University","OYO","Male"
"2022/01/14 10:47:07 AM GMT+1","5","Between 28 years or above","It has really been disappointing because the same people are being revolved in Nigeria political system for the past 20 years","Family","To have fear of God.","Corruption","It is the same","College or University","OYO","Male"
"2022/01/14 10:50:02 AM GMT+1","5","Between 28 years or above","Worst","Family","To have Fear of God","Corruption","It is the same","College or University","Oyo","Male"
"2022/01/14 11:25:36 AM GMT+1","6","Between 28 years or above","Nigeria politics is improving unlike before alot of Enlistment are coming even those who are not instrested in politics are coming out women are now instrested in politics. Unfortunately they refused young ones ","Everyone in Nigeria is on thier own if you don't have money u can't move on","They should allow the young ones","They should be humble and love the people they are governing","YES, it is getting better","College or University","Ogun","Female"
"2022/01/14 3:52:22 PM GMT+1","5","Between 28 years or above","I think its more of a charade which is based on unintelligent approach to the situation of the country  by the politicians encouraged by the unnecessary  sentiments of the populace ","Family, friends.","Have a vision, be the servant  of that vision ","Accountability ","NO, it is getting worse","College or University","Ondo state","Male"
"2022/01/14 5:25:45 PM GMT+1","4","Between 18 - 22 years","Nigeria situation has been very very bad ","Family I guess","I would advise that they work on their game and stop destroying the country","Good leaders leading by example","NO, it is getting worse","College or University","Kwara","Female"
"2022/01/14 5:46:14 PM GMT+1","3","Between 28 years or above","It's simply nothing worth talking about","Family and friends","Just go and serve the people.","Godfatherism","NO, it is getting worse","College or University","Cross river","Male"
"2022/01/14 5:53:58 PM GMT+1","3","Between 23 - 27 years","It’s  been worse.","Health and family ","Communication ","Not listening to the citizens ","NO, it is getting worse","College or University","Lagos","Female"
"2022/01/14 8:31:18 PM GMT+1","1","Between 18 - 22 years","Very bad, full of corruption and recycling of bad leaders","Family","Be different, please","Kill all of them","NO, it is getting worse","College or University","Kwara state","Female"
"2022/01/15 1:04:08 PM GMT+1","2","Between 28 years or above","Since the past 10yrs, political situation is been worsen as a result of bad political leaders who were put in place. And the same set or category of people are still the one ruling up till date. So no proper development is coming from so called leaders. I come in peace.","Family","Our leader should try and stop being selfish, they should try and learn from advance country how they rule their citizens to make life a meaningful for everyone.","Change of System by adjust 1999 constitution","It is the same","College or University","Lagos","Male"
"2022/01/15 3:16:53 PM GMT+1","4","Between 28 years or above","Could be better ","Family ","To relate more with citizens to know their needs ","Decline in societal values","NO, it is getting worse","College or University","Abuja","Female"
"2022/01/15 9:10:14 PM GMT+1","4","Between 28 years or above","So horrible with lack of transparency from all the political figures
We are running a type of government that lack the skills to govern the Nigerian masses
There's no equity in governance: if you are a contractor, you need to be politically influenced before you could be hired
If you're a graduate, you mostly need to be politically influenced before you could be employed
Likewise if you are a manufacturer or a farmer","Taking risk","I would rather advice on the establishment of Monarchial type of government","Monarchy and not democracy
Hence; every leader will always fight for their self(their families inclusive) interest first","NO, it is getting worse","College or University","Oyo state","Male"
"2022/01/16 12:25:50 AM GMT+1","4","Between 23 - 27 years","A government by the people but ends up not being for the people. ","Family","Have the people in mind, and  they'll be yours","Consider the poor masses and let the national cake reach every community and not to beembezzled","It is the same","B.A.","Osun State","Male"
"2022/01/16 6:54:52 AM GMT+1","6","Between 28 years or above","c'est assez incertain, les choses coûtent cher ","Heath living ","To focus on community project ","By follow the Constitution of Nigeria ","YES, it is getting better","College or University","Oyo state","Male"
"2022/01/16 7:42:04 AM GMT+1","4","Between 23 - 27 years","Bad and getting worse","Family","Make Positive impact on all the sectors in the country","Discipline","NO, it is getting worse","College or University","Oyo","Female"
"2022/01/16 7:44:45 AM GMT+1","4","Between 28 years or above","Worst","Family","To use resources judiciously","Discipline","NO, it is getting worse","College or University","Oyo","Male"
